copy_id,source_book,source_offset,source_end_offset,target_book,target_offset,target_end_offset,length,book_delta,same_book,back_distance
0,0,55,61,0,132,138,6,0,True,77
1,0,67,73,1,12,18,6,1,False,90
2,1,15,21,1,28,34,6,0,True,13
3,1,56,62,1,75,81,6,0,True,19
4,1,27,35,2,6,14,8,1,False,72
5,0,56,63,2,16,23,7,2,False,198
6,0,16,22,2,26,32,6,2,False,248
7,2,39,45,2,62,68,6,0,True,23
8,0,101,108,2,130,137,7,2,False,267
9,0,106,113,3,0,7,7,3,False,310
10,1,82,92,3,7,17,10,2,False,196
11,2,63,69,3,23,29,6,1,False,138
12,1,13,20,3,61,68,7,2,False,319
13,0,44,50,3,84,90,6,3,False,456
14,2,27,33,3,90,96,6,1,False,241
15,2,63,72,3,98,107,9,1,False,213
16,0,27,33,3,116,122,6,3,False,505
17,0,55,64,3,123,132,9,3,False,484
18,3,108,115,4,0,7,7,1,False,33
19,3,54,69,4,7,22,15,1,False,94
20,3,5,45,4,22,62,40,1,False,158
21,3,115,126,4,64,75,11,1,False,90
22,3,93,108,4,78,93,15,1,False,126
23,3,126,140,4,93,107,14,1,False,108
24,3,45,54,4,110,119,9,1,False,206
25,3,72,93,4,119,140,21,1,False,188
26,0,90,100,5,2,12,10,5,False,610
27,2,51,177,5,12,138,126,3,False,421
28,1,74,81,5,144,151,7,4,False,623
29,0,27,35,5,160,168,8,5,False,831
30,0,0,73,5,200,273,73,5,False,898
31,2,137,143,6,0,6,6,4,False,597
32,5,166,181,6,6,21,15,1,False,114
33,2,143,154,6,21,32,11,4,False,612
34,5,139,157,6,38,56,18,1,False,173
35,5,193,219,6,56,82,26,1,False,137
36,2,154,166,6,87,99,12,4,False,667
37,5,157,166,6,99,108,9,1,False,216
38,5,126,139,6,111,124,13,1,False,259
39,0,30,44,6,124,138,14,6,False,1066
40,0,19,30,6,143,154,11,6,False,1096
41,0,52,73,6,154,175,21,6,False,1074
42,6,5,16,7,0,11,11,1,False,171
43,2,165,172,7,11,18,7,5,False,756
44,6,70,105,7,32,67,35,1,False,138
45,6,17,46,7,75,104,29,1,False,234
46,1,10,63,8,0,53,53,7,False,1100
47,2,2,36,8,53,87,34,6,False,1068
48,1,74,80,8,94,100,6,7,False,1130
49,2,7,15,8,100,108,8,6,False,1110
50,2,136,142,8,114,120,6,6,False,995
51,2,132,138,8,122,128,6,6,False,1007
52,2,129,135,8,146,152,6,6,False,1034
53,5,2,254,9,0,252,252,4,False,711
54,0,54,90,9,252,288,36,9,False,1609
55,2,36,42,9,288,294,6,7,False,1425
56,5,195,201,10,0,6,6,5,False,813
57,0,1,144,10,6,149,143,10,False,1711
58,1,0,92,10,149,241,92,9,False,1710
59,2,0,40,10,241,281,40,8,False,1709
60,8,87,94,11,6,13,7,3,False,652
61,5,140,169,11,13,42,29,6,False,1163
62,8,102,132,11,49,79,30,3,False,680
63,5,169,227,11,79,137,58,6,False,1200
64,2,78,97,12,2,21,19,10,False,1812
65,5,160,172,12,21,33,12,7,False,1289
66,3,39,45,12,34,40,6,9,False,1705
67,2,64,72,12,40,48,8,10,False,1864
68,0,27,33,12,51,57,6,12,False,2150
69,3,34,47,12,57,70,13,9,False,1733
70,1,63,74,12,70,81,11,11,False,1988
71,0,101,107,12,81,87,6,12,False,2106
72,3,1,13,12,87,99,12,9,False,1796
73,8,57,88,12,99,130,31,4,False,913
74,12,111,137,13,0,26,26,1,False,27
75,3,114,133,13,28,47,19,10,False,1762
76,0,4,11,13,48,55,7,13,False,2308
77,8,114,128,13,55,69,14,5,False,950
78,11,0,6,13,76,82,6,2,False,352
79,0,90,96,13,82,88,6,13,False,2256
80,2,113,166,13,88,141,53,11,False,2001
81,2,20,26,14,39,45,6,12,False,2187
82,9,252,291,14,50,89,39,5,False,793
83,1,10,35,14,89,114,25,13,False,2340
84,5,195,203,14,114,122,8,9,False,1627
85,5,176,184,14,122,130,8,9,False,1654
86,0,37,50,15,1,14,13,15,False,2504
87,10,136,150,15,14,28,14,5,False,712
88,5,8,19,15,28,39,11,10,False,1862
89,8,88,110,15,40,62,22,7,False,1237
90,3,56,89,15,62,95,33,12,False,2130
91,8,145,152,15,95,102,7,7,False,1235
92,3,97,114,15,102,119,17,12,False,2129
93,3,23,33,15,119,129,10,12,False,2220
94,2,60,74,15,129,143,14,13,False,2371
95,15,37,143,16,0,106,106,1,False,107
96,14,105,116,16,112,123,11,2,False,285
97,0,56,63,16,125,132,7,16,False,2753
98,5,172,184,16,132,144,12,11,False,1946
99,2,38,44,16,144,150,6,14,False,2552
100,8,94,107,16,151,164,13,8,False,1486
101,3,60,68,16,164,172,8,13,False,2372
102,0,106,113,17,0,7,7,17,False,2753
103,1,64,70,17,8,14,6,16,False,2658
104,3,7,137,17,16,146,130,14,False,2452
105,11,43,49,17,146,152,6,6,False,974
106,10,118,158,17,152,192,40,7,False,1187
107,2,131,140,17,204,213,9,15,False,2694
108,14,122,132,17,213,223,10,3,False,544
109,14,115,126,17,227,238,11,3,False,565
110,14,1,33,17,238,270,32,3,False,690
111,0,87,138,18,0,51,51,18,False,3047
112,10,201,243,18,51,93,42,8,False,1278
113,2,2,38,19,0,36,36,17,False,2988
114,1,4,52,19,36,84,48,18,False,3115
