pair,label,cluster
00,*,diagonal
01,N,zero_or_one_edge
02,R,zero_or_one_edge
03,V,zero_or_one_edge
04,F,zero_or_one_edge
05,T,zero_or_one_edge
06,I,six_nine_orbit
07,I,zero_or_one_edge
08,I,zero_or_one_edge
09,T,six_nine_orbit
11,E,diagonal
12,F,zero_or_one_edge
13,N,zero_or_one_edge
14,A,zero_or_one_edge
15,E,zero_or_one_edge
16,T,six_nine_orbit
17,V,zero_or_one_edge
18,I,zero_or_one_edge
19,I/N,conflict_or_missing
22,A,diagonal
23,O,residual_geometry
24,L,residual_geometry
25,I,residual_geometry
26,N,six_nine_orbit
27,S,residual_geometry
28,T,residual_geometry
29,N,six_nine_orbit
33,E,diagonal
34,B,residual_geometry
35,L,residual_geometry
36,V,six_nine_orbit
37,A,residual_geometry
38,T,residual_geometry
39,N,conflict_or_missing
44,E,diagonal
45,F,residual_geometry
46,N,six_nine_orbit
47,E,residual_geometry
48,E,residual_geometry
49,N,six_nine_orbit
55,V,diagonal
56,I,six_nine_orbit
57,E,residual_geometry
58,E,residual_geometry
59,I,six_nine_orbit
66,E,diagonal
67,A,six_nine_orbit
68,C,six_nine_orbit
69,V,six_nine_orbit
77,N,diagonal
78,E,residual_geometry
79,A,six_nine_orbit
88,A,diagonal
89,T,six_nine_orbit
99,E,diagonal
