pair,label,forward,reverse,is_diagonal,has_6_or_9,missing_ordered_code
00,*,*,*,True,False,
01,N,N,N,False,False,
02,R,R,R,False,False,
03,V,V,V,False,False,
04,F,F,F,False,False,
05,T,T,T,False,False,
06,I,I,I,False,True,
07,I,I,I,False,False,
08,I,I,I,False,False,
09,T,T,T,False,True,
11,E,E,E,True,False,
12,F,F,F,False,False,
13,N,N,N,False,False,
14,A,A,A,False,False,
15,E,E,E,False,False,
16,T,T,T,False,True,
17,V,V,V,False,False,
18,I,I,I,False,False,
19,I/N,I,N,False,True,
22,A,A,A,True,False,
23,O,O,O,False,False,
24,L,L,L,False,False,
25,I,I,I,False,False,
26,N,N,N,False,True,
27,S,S,S,False,False,
28,T,T,T,False,False,
29,N,N,N,False,True,
33,E,E,E,True,False,
34,B,B,B,False,False,
35,L,L,L,False,False,
36,V,V,V,False,True,
37,A,A,A,False,False,
38,T,T,T,False,False,
39,N,,N,False,True,39
44,E,E,E,True,False,
45,F,F,F,False,False,
46,N,N,N,False,True,
47,E,E,E,False,False,
48,E,E,E,False,False,
49,N,N,N,False,True,
55,V,V,V,True,False,
56,I,I,I,False,True,
57,E,E,E,False,False,
58,E,E,E,False,False,
59,I,I,I,False,True,
66,E,E,E,True,True,
67,A,A,A,False,True,
68,C,C,C,False,True,
69,V,V,V,False,True,
77,N,N,N,True,False,
78,E,E,E,False,False,
79,A,A,A,False,True,
88,A,A,A,True,False,
89,T,T,T,False,True,
99,E,E,E,True,True,
